,Booking_date,Class_name,Member,Class Time
0,2021-07-01 (Thursday),Push  (Push) (52476),15,11:30:00
1,2021-07-01 (Thursday),Power  (Power) (52741),5,16:30:00
2,2021-07-01 (Thursday),Power  (Power) (52741),12,05:15:00
3,2021-07-01 (Thursday),Push  (Push) (52476),14,17:15:00
4,2021-07-01 (Thursday),Push  (Push) (52476),13,06:00:00
5,2021-07-01 (Thursday),Power  (Power) (52741),9,18:00:00
6,2021-07-01 (Thursday),Power  (Power) (52741),8,06:45:00
7,2021-07-01 (Thursday),Power  (Power) (52741),14,08:45:00
8,2021-07-01 (Thursday),Push  (Push) (52476),13,09:30:00
9,2021-07-02 (Friday),Push  (Push) (52476),14,11:30:00
10,2021-07-02 (Friday),Push  (Push) (52476),11,05:15:00
11,2021-07-02 (Friday),Power  (Power) (52741),15,06:00:00
12,2021-07-02 (Friday),Push  (Push) (52476),14,06:45:00
13,2021-07-02 (Friday),Push  (Push) (52476),14,08:45:00
14,2021-07-02 (Friday),Power  (Power) (52741),16,09:30:00
15,2021-07-05 (Monday),Power  (Power) (52741),14,11:30:00
16,2021-07-05 (Monday),Push  (Push) (52476),17,16:30:00
17,2021-07-05 (Monday),Power  (Power) (52741),13,17:15:00
18,2021-07-05 (Monday),Push  (Push) (52476),11,18:00:00
19,2021-07-06 (Tuesday),Push  (Push) (52476),13,11:30:00
20,2021-07-06 (Tuesday),Power  (Power) (52741),15,16:30:00
21,2021-07-06 (Tuesday),Power  (Power) (52741),16,05:15:00
22,2021-07-06 (Tuesday),Push  (Push) (52476),19,17:15:00
23,2021-07-06 (Tuesday),Push  (Push) (52476),14,06:00:00
24,2021-07-06 (Tuesday),Power  (Power) (52741),8,18:00:00
25,2021-07-06 (Tuesday),Power  (Power) (52741),14,06:45:00
26,2021-07-06 (Tuesday),Power  (Power) (52741),18,08:45:00
27,2021-07-06 (Tuesday),Push  (Push) (52476),9,09:30:00
28,2021-07-07 (Wednesday),Power  (Power) (52741),10,11:30:00
29,2021-07-07 (Wednesday),Push  (Push) (52476),15,16:30:00
30,2021-07-07 (Wednesday),Push  (Push) (52476),9,05:15:00
31,2021-07-07 (Wednesday),Power  (Power) (52741),13,17:15:00
32,2021-07-07 (Wednesday),Power  (Power) (52741),15,06:00:00
33,2021-07-07 (Wednesday),Push  (Push) (52476),13,18:00:00
34,2021-07-07 (Wednesday),Push  (Push) (52476),20,06:45:00
35,2021-07-07 (Wednesday),Push  (Push) (52476),17,08:45:00
36,2021-07-07 (Wednesday),Power  (Power) (52741),16,09:30:00
37,2021-07-08 (Thursday),Push  (Push) (52476),15,11:30:00
38,2021-07-08 (Thursday),Power  (Power) (52741),11,16:30:00
39,2021-07-08 (Thursday),Power  (Power) (52741),12,05:15:00
40,2021-07-08 (Thursday),Push  (Push) (52476),19,17:15:00
41,2021-07-08 (Thursday),Push  (Push) (52476),15,06:00:00
42,2021-07-08 (Thursday),Power  (Power) (52741),5,18:00:00
43,2021-07-08 (Thursday),Power  (Power) (52741),11,06:45:00
44,2021-07-08 (Thursday),Power  (Power) (52741),18,08:45:00
45,2021-07-08 (Thursday),Push  (Push) (52476),18,09:30:00
46,2021-07-09 (Friday),Push  (Push) (52476),17,11:30:00
47,2021-07-09 (Friday),Specialty Class  (Power Prep) (52899),12,12:15:00
48,2021-07-09 (Friday),Power  (Power) (52741),10,15:45:00
49,2021-07-09 (Friday),Push  (Push) (52476),19,16:30:00
50,2021-07-09 (Friday),Push  (Push) (52476),14,05:15:00
51,2021-07-09 (Friday),Power  (Power) (52741),14,06:00:00
52,2021-07-09 (Friday),Push  (Push) (52476),19,06:45:00
53,2021-07-09 (Friday),Push  (Push) (52476),20,08:45:00
54,2021-07-09 (Friday),Power  (Power) (52741),13,09:30:00
55,2021-07-10 (Saturday),Push  (Push) (52476),15,08:00:00
56,2021-07-10 (Saturday),Power  (Power) (52741),16,08:45:00
57,2021-07-10 (Saturday),Push  (Push) (52476),13,09:30:00
58,2021-07-12 (Monday),Power  (Power) (52741),12,11:30:00
59,2021-07-12 (Monday),Push  (Push) (52476),17,16:30:00
60,2021-07-12 (Monday),Push  (Push) (52476),13,05:15:00
61,2021-07-12 (Monday),Power  (Power) (52741),19,17:15:00
62,2021-07-12 (Monday),Power  (Power) (52741),19,06:00:00
63,2021-07-12 (Monday),Push  (Push) (52476),16,18:00:00
64,2021-07-12 (Monday),Push  (Push) (52476),19,06:45:00
65,2021-07-12 (Monday),Push  (Push) (52476),15,08:45:00
66,2021-07-12 (Monday),Power  (Power) (52741),16,09:30:00
67,2021-07-13 (Tuesday),Push  (Push) (52476),14,11:30:00
68,2021-07-13 (Tuesday),Power  (Power) (52741),9,05:15:00
69,2021-07-13 (Tuesday),Push  (Push) (52476),16,06:00:00
70,2021-07-13 (Tuesday),Power  (Power) (52741),14,06:45:00
71,2021-07-13 (Tuesday),Power  (Power) (52741),15,08:45:00
72,2021-07-13 (Tuesday),Push  (Push) (52476),11,09:30:00
73,2021-07-14 (Wednesday),Power  (Power) (52741),17,11:30:00
74,2021-07-14 (Wednesday),Push  (Push) (52476),17,16:30:00
75,2021-07-14 (Wednesday),Push  (Push) (52476),10,05:15:00
76,2021-07-14 (Wednesday),Power  (Power) (52741),8,17:15:00
77,2021-07-14 (Wednesday),Power  (Power) (52741),17,06:00:00
78,2021-07-14 (Wednesday),Push  (Push) (52476),16,18:00:00
79,2021-07-14 (Wednesday),Push  (Push) (52476),17,06:45:00
80,2021-07-14 (Wednesday),Push  (Push) (52476),17,08:45:00
81,2021-07-14 (Wednesday),Power  (Power) (52741),14,09:30:00
82,2021-07-15 (Thursday),Push  (Push) (52476),13,11:30:00
83,2021-07-15 (Thursday),Power  (Power) (52741),6,16:30:00
84,2021-07-15 (Thursday),Power  (Power) (52741),13,05:15:00
85,2021-07-15 (Thursday),Push  (Push) (52476),16,17:15:00
86,2021-07-15 (Thursday),Push  (Push) (52476),18,06:00:00
87,2021-07-15 (Thursday),Power  (Power) (52741),7,18:00:00
88,2021-07-15 (Thursday),Power  (Power) (52741),11,06:45:00
89,2021-07-15 (Thursday),Power  (Power) (52741),15,08:45:00
90,2021-07-15 (Thursday),Push  (Push) (52476),20,09:30:00
