,Booking_date,Class_name,Member,Class Time
0,2022-06-20 (Monday),Power (52741),20,11:30:00
1,2022-06-20 (Monday),PRIME (57332),4,12:15:00
2,2022-06-20 (Monday),Power (52741),17,16:30:00
3,2022-06-20 (Monday),Push (52476),10,05:15:00
4,2022-06-20 (Monday),PRIME (57332),3,17:15:00
5,2022-06-20 (Monday),Push (52476),11,18:00:00
6,2022-06-20 (Monday),Push (52476),19,06:45:00
7,2022-06-20 (Monday),Push (52476),17,08:45:00
8,2022-06-20 (Monday),Power (52741),11,09:30:00
9,2022-06-21 (Tuesday),Power (52741),17,11:30:00
10,2022-06-21 (Tuesday),PRIME (57332),2,12:15:00
11,2022-06-21 (Tuesday),PRIME (57332),3,15:45:00
12,2022-06-21 (Tuesday),Push (52476),12,16:30:00
13,2022-06-21 (Tuesday),Power (52741),17,05:15:00
14,2022-06-21 (Tuesday),Power (52741),15,17:15:00
15,2022-06-21 (Tuesday),Push (52476),16,06:00:00
16,2022-06-21 (Tuesday),Push (52476),11,18:00:00
17,2022-06-21 (Tuesday),PRIME (57332),3,06:45:00
18,2022-06-21 (Tuesday),Power (52741),14,08:45:00
19,2022-06-21 (Tuesday),Push (52476),19,09:30:00
20,2022-06-22 (Wednesday),Push (52476),13,11:30:00
21,2022-06-22 (Wednesday),PRIME (57332),8,12:15:00
22,2022-06-22 (Wednesday),Power (52741),9,16:30:00
23,2022-06-22 (Wednesday),Push (52476),10,05:15:00
24,2022-06-22 (Wednesday),Push (52476),14,17:15:00
25,2022-06-22 (Wednesday),Power (52741),10,06:00:00
26,2022-06-22 (Wednesday),PRIME (57332),2,18:00:00
27,2022-06-22 (Wednesday),Push (52476),21,06:45:00
28,2022-06-22 (Wednesday),Push (52476),13,08:45:00
29,2022-06-22 (Wednesday),Power (52741),9,09:30:00
30,2022-06-23 (Thursday),Power (52741),6,11:30:00
31,2022-06-23 (Thursday),PRIME (57332),6,15:45:00
32,2022-06-23 (Thursday),Push (52476),14,16:30:00
33,2022-06-23 (Thursday),Power (52741),9,05:15:00
34,2022-06-23 (Thursday),Power (52741),13,17:15:00
35,2022-06-23 (Thursday),Push (52476),11,06:00:00
36,2022-06-23 (Thursday),Push (52476),9,18:00:00
37,2022-06-23 (Thursday),PRIME (57332),7,06:45:00
38,2022-06-23 (Thursday),Power (52741),13,08:45:00
39,2022-06-23 (Thursday),Push (52476),10,09:30:00
40,2022-06-24 (Friday),Push (52476),13,11:30:00
41,2022-06-24 (Friday),PRIME (57332),5,12:15:00
42,2022-06-24 (Friday),Power (52741),14,16:30:00
43,2022-06-24 (Friday),Push (52476),13,05:15:00
44,2022-06-24 (Friday),Push (52476),9,17:15:00
45,2022-06-24 (Friday),Power (52741),11,06:00:00
46,2022-06-24 (Friday),Push (52476),20,06:45:00
47,2022-06-24 (Friday),Push (52476),18,08:45:00
48,2022-06-24 (Friday),Power (52741),15,09:30:00
